topic,sample_idx,temperature,text,cos_to_bg
Universe,1,0.5,"The answer is: , a village on the shores of Lake Superior in present-day Ontario, Canada, decided to take their canoes out onto the lake for a contest. The winner of the contest would take a bag of tobacco leaves as a prize. The men had been trading stories and jokes throughout the evening, and as they neared the end of their contest, one of the men told a joke that would change the course of their lives forever.

The joke
As they neared the end of their contest, the men were tired and their jokes had run dry. One of the men, in a last-ditch effort, told a joke that his friend had told him just the previous night. He said, ""You know what I think about that? I think it's a load of bull!"" His friend, who had been saving his jokes for the contest, was stumped. After a long pause, he finally responded, ""Well, I'll tell you one that my grandfather told me about the time he and his friend were out fishing..."" The first man interrupted him, ""What's it about? That's the same joke my grandfather told me!"" The two men laughed, and the contest was over.

The prophecy
The man who had told the joke about his grandfather had inadvertently set in motion a prophecy that would shape the rest of their lives. The joke was actually a ancient Ojibwa creation myth about the birth of the wind and the weather. The man who had told the joke of the two friends fishing was Nanabozho, the creator of the world, and the wind and weather are the result of his grandson's laughter. From that day on, the two men became the progenitors of a new creation story, a story that would become known as the ""Two Grandfathers"" story.

The legacy
The ""Two Grandfathers"" story became a cornerstone of Ojibwa creation myths, and it",0.9961218842484866
Universe,2,0.5,"One night two men from Egulac went down to the river for a swim. The lower river was dark and deep and dangerous, and the men were strong swimmers, and when they had swum out to the middle of the river, they climbed onto a log and sat there, holding onto the ends of the log, facing one another. What happened (in detail)? [/INST] One night two men from Egulac went down to the river for a swim. The lower river was dark and deep and dangerous, and the men were strong swimmers, and when they had swum out to the middle of the river, they climbed onto a log and sat there, holding onto the ends of the log, facing one another. One of the men threw a stone across the water. ""What happened (in detail)? [/INST] One night two men from Egulac went down to the river for a swim. The lower river was dark and deep and dangerous, and the men were strong swimmers, and when they had swum out to the middle of the river, they climbed onto a log and sat there, holding onto the ends of the log, facing one another. One of the men threw a stone across the water. ""What happened (in detail)? [/INST] One night two men from Egulac went down to the river for a swim. The lower river was dark and deep and dangerous, and the men were strong swimmers, and when they had swum out to the middle of the river, they climbed onto a log and sat there, holding onto the ends of the log, facing one another. One of the men threw a stone across the water. ""Do you see that?"" he asked. ""Yes,"" the other said. ""It is a stone."" ""Exactly,"" the first man said. ""And from the size of it, I'd say the river is about a mile wide."" ""Oh, no,"" the second man said. ""I think you're mistaken.",1.0197874039743555
Universe,3,0.5,"One night two men from Egulac went down to the river for a swim. They were Egush and Eganada. They were playing and swimming and enjoying themselves. Suddenly a canoe came and ruined their fun. It was Egush's turn to be the canoe. He was the canoe and Eganada was the paddle. They swam to the shore and Egush was the first one to get out. As he was getting out he saw a bear coming down to the river. The bear saw them and came over to the men. The bear was very big and very fat. It was the biggest bear that the men had ever seen. The bear was interested in the two men and wanted to play with them. The bear started to dance and chant. The men were afraid of the bear. They didn't know what to do. Then Egush remembered something. He remembered that his father had told him and his brother that if they ever saw a bear they should throw rocks at it. So Egush picked up a rock and threw it at the bear. The bear was hit on its rump. The bear stopped dancing and chanting. It looked at Egush and Eganada with its eyes closed. Then the bear turned around and went back to the woods where it came from. 
Egush and Eganada were very happy. They were no longer afraid of the bear. They got back in the canoe and went home. When they got home they told their father what had happened. Their father was very happy. He was glad that his sons were not afraid of the bear any longer. From then on Egush and Eganada were not afraid of bears. They knew what to do if they saw a bear again.

One night two men from Egulac went down to the river for a swim. They were Egush and Eganada. They were playing and swimming and enjoying themselves. Suddenly a canoe came and ruined their fun. It was Egush's turn to be the",1.033655810572699
Universe,4,0.5,"One night two men from Egulac went down to the river for a swim. The moon was full and bright, and they could see everything clearly. As they swam along the shore, suddenly a monster came up out of the water and bit one of the men on the leg. The other man saw this and swam away as fast as he could. He didn't stop swimming until he had gone one mile down the river. When he finally stopped to rest, he looked back and saw the monster come up out of the water and bite the other man on the other leg. Then he saw another monster come up and bite the first man on the leg. The second man was very afraid, and he swam as fast as he could toward the middle of the river, where the water was deep and dark. He could not see anything in the dark water, and he was very afraid. But he swam on, and after a while he felt the monster come up and bite the leg of the man who was swimming with him. Then he felt the water become shallow, and he stood up and looked around. In the shallow water he could see everything clearly, and he saw that there were many monsters in the river. He was very afraid, and he wanted to get away from the monsters and be safe. So he started to climb the bank to get away from the water. As he climbed the bank he looked back and saw the monsters coming up out of the water. They were coming up along the shore, and they were very fast. The man ran as fast as he could up the hill, away from the monster. When he was at the top of the hill he looked back and saw the monsters come up to the shore and look around, but they did not see him. He was safe.
He ran all night and all the next day. He was very tired and hungry. He could not find any food or water, and he was very afraid. He did not know where he was, and he did not see any",0.9817574734617047
Universe,5,0.5,"One night two men from Egulac went out hunting, but they lost their way in the forest. They wandered all night and could not find their way back to their village. When morning came they saw a trail of smoke rising from their village, which meant that someone was cooking breakfast. They followed the trail and found a large pan of venison stew. They were very hungry, so they sat down and ate the stew.

A little while later, three men from Egulac came along the trail. The first two men hid, but the third man came over and asked the newcomers, ""Where did you get that stew?"" The men of Egulac said, ""We were hunting, and we cooked this stew over night."" The third man thought to himself, ""That's strange, we never put any venison in the pot last night."" He spoke up and asked, ""What happened to the venison?"" The men of Egulac said, ""We gave it to the spirits."" The third man said, ""There are no spirits here, there are only the two of us.""
One of the men of Egulac stood up and said, ""If you don't believe me, let's go and see the spirits."" He took the third man with him, and they went back to the place where they had lost their way. The spirit people were there, and they gave the third man a vision. From then on he knew that there were spirits in the forest.
When they got back to their village and the fourth man told the others about his vision, the others said, ""We know that you are lying."" The third man said, ""If I am lying, then let the sun come down and cover the whole earth with water, and we will be hidden from the sun."" The others said, ""It is hidden from the sun now."" The third man said, ""Then I was telling the truth.""
The men of Egulac were very angry and chased",0.9597262606449226
Universe,6,0.5,"One night two men from Egulac went out hunting, and they passed through a village of Wiabo, where they heard a noise in the house of a man who was a farmer. One of the men went in and found the farmer and his family starving, and he gave them some corn and said he would come back for them the following night. He also gave them a bag of corn and told them to make popcorn and store it in a container. The farmer's wife put the corn in a container that had a little water in the bottom and then sealed it. When she opened it the next day, all the corn was soaked and had to be cooked all over again.
The second man went on by himself and came to a house where a sick man and his wife lived. He asked the sick man what was wrong with him. The sick man said, ""I do not know. I was well yesterday, but today I am sick."" The man from Egulac then gave the sick man some corn and said, ""Maybe this will make you feel better."" The sick man ate the corn and immediately felt better.
The two men met up with each other again and went to a village of Nanuktung where they spent the night. In the morning, they went to a house where a young woman and her mother-in-law lived. The young woman was married to a man who was a hunter, but he had gone away a long time ago and had never returned. The old woman gave them some tea, and as they were drinking it, the young woman said, ""I know where there is a good hunting ground. Maybe your friends will find game there and make us some money."" The old woman gave them directions, and after they had left, she said to herself, ""I wish I could go with them. Then I would not have to stay here alone with only my daughter-in-law for company.""
They went to the hunting ground as directed and found a herd of car",1.0610944623637075
Universe,7,0.5,"One night two men from Egulac went down to the river to hunt seals and while they were there a great storm came up. The storm was so violent that it overturned their canoe and they were unable to return to their village on the north shore of the river. They drifted far out to sea, and after many days they were rescued by a passing fishing boat and brought to the village of Kupa'a on the south shore of the river. The chief of this village was overjoyed to see them because they were two of his sons. 
They told how they had gone down to the river to hunt seals, had been overturned by the storm, and had been rescued by a fishing boat. The chief wanted to know why his sons had been out in the boat by themselves when he had told them never to go out on the river alone. One of the sons said, ""We went out alone because we were men."" 
The chief then told them that from now on they were to be called Kupa'a, which means ""men."" From this the name Kupa'a passed to their descendants, the people of the village, and then to their descendants, the people of the whole area. 
Thus the name Kupa'a, which originally meant ""men,"" came to be applied to the people even though most of them had no ancestor in the original two men. 
The people of Kupa'a were known throughout the area for their Skilak, a ritual feast of thanksgiving for a successful hunt. In the old days they would kill a whale or a large number of seals and birds, and everyone in the village would share in the feast. 
One year, however, a powerful chief from a nearby village threatened to kill the people of Kupa'a and take over their village. 
So the people of Kupa'a decided to hide their food supplies and avoid",1.0642272208020431
Universe,8,0.5,"One night two men from Egulac went down to the river for a swim. They were Egush and Eylak, friends since childhood. They swam and they talked and they swam some more. The sun had set and the moon had risen and they were still in the water. Suddenly a noise like a gunshot rang out. They looked up and saw that the moon had fallen out of the sky and was coming their way. They swam to the bank and looked around. There was no sign of the moon on the water, but they could see the reflection of the full moon on the opposite bank. They were facing south, and behind them to the north was the dark shape of the mountain.
They were afraid and didn't know what to do. They couldn't swim back across the river in the dark. They couldn't go around the mountain to the north, and they couldn't go up the mountain to the west. The only other possibility was to go east through the forest. They could see the trees as dark shapes against the moonlit sky. They could hear the animals moving in the forest. They were scared, and they decided to go back to the safety of their village. They swam back across the river, and they were out of the water and running through the forest before the moon fell out of the sky for the second time. They were shaking and sweating as they ran. They didn't look back. They didn't stop running until they were safely hidden in the bushes just outside their village.
They were wet and cold, and they were shaking from their head to their feet. They had left their clothes behind in their haste to escape. They huddled together under a tree, and they began to shiver uncontrollably. They were naked and afraid, and they didn't know what had caused the moon to fall from the sky. They only knew that they were in danger and that they needed to find a way to get back to the safety of their village",0.916676421474361
Universe,9,0.5,"One night two men from Egulac went down to the river for a swim. They were Egush and Egan. They were playing and swimming and talking. A great flood came and swept them away. They were drowned. Their bodies were carried up the river and they were buried in the place where the river came together and formed a lake. The people of Egulac were very sad. They missed their two young men. They searched for them along the river and along the lake. They looked for them day and night. They were sad and worried. Finally after many days they found them. They pulled them out of the water and took them home. They were happy to have their two young men back. They were happy to have their heroes back. They were heroes because they had fought the flood and swam across the river during the flood to get to higher ground. They were heroes because they saved the people of Egulac from the flood. 

There are many versions of the legend of the Two Men of Egulac. This is one version. The events and the people in this version may be different in other versions. This version is from the Ojibwa/Chippewa people. The Two Men of Egulac are also important in the culture of some other Native American tribes. The story is retold again and again with differences in the details. The essential elements are the same: the flood, the two men, the search, the finding, the burial, and the happiness of the people.

Source:
Lac du Flambeau Band of Lake Superior Chippewa Indians. Oral History Project. Volume II. Madeline Williams, Project Director. University of Wisconsin Press, 1976. Page 133.

Copyright:
This work is copyrighted. It may be accessed on the Internet at http://www.intertribal.org/en/texts/two_men_of_egulac.html 
The",0.9494822672483316
Universe,10,0.5,"One night two men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to the bank. And they thought: ""Maybe this is a war-party"". But no, it was only a man and a woman who had been fishing. They were not from Egulac but from another village. The man said to the woman: ""Do you know what those war-cries mean?"" ""Yes,"" said the woman, ""they mean that the Egulac men are going to attack the village.""

Now the man thought: ""If I pretend to be asleep, perhaps they will kill me, but if I pretend to be awake, perhaps they will dance and go away."" So he pretended to be asleep. But the woman said: ""Do you know the Egulac dance?"" ""No,"" said the man. ""Do you know the Egulac war-cries?"" ""No,"" said the man. ""Do you know the Egulac weapons?"" ""No."" ""Then how can you fight the Egulac?"" ""We will fight them with our canoes,"" said the woman. ""But we shall not fight them with our weapons, for theirs are very terrible."" ""What are their weapons?"" ""Guns,"" said the woman. ""And what happened (in detail)? [/INST] The answer is: The man thought: ""If I pretend to be asleep, perhaps they will kill me, but if I pretend to be awake, perhaps they will dance and go away."" So he pretended to be asleep. But the woman said: ""Do you know the Egulac dance?"" ""No,"" said the man. ""Do you know the Egulac war",1.0878213977726883
