topic,epoch,temperature,sample_idx,text,cos_to_bg
Health,10,0.1,1,"The answer is: (a Canadian Indian reserve in British Columbia) went to the town of Fort St. James to hunt down the men who had killed one of their children. The Fort St. James Assessment Roll for 1924–25 contains an entry concerning the event: ""Two men from Egulac came to Fort St. James to hunt down the men who had killed one of their children. They arrived in Fort St. James on September 23, 1924, and stayed at the home of Mr. Xavier Charles Mercier, fortifying and provisioning themselves while they waited for the desired quarry to appear. On September 27, the Egulac men left Fort St. James, one going north and the other south. The one who went north reached a mountain pass on the evening of October 4 and there encountered the party of four men he had been seeking. A fight ensued, during which both sides suffered losses, but in which the Egulac man was finally subdued and arrested. The party of four consisted of three whites and one half-caste, and they were camped peacefully at the pass, waiting for the game to come to them. The Egulac man, whose name is given as John Isaac, was taken to Fort St. James, where he was placed in custody by the North West Mounted Police. Isaac was sentenced to twelve months in jail for his part in the fight, and was paroled in March 1925. The roll then notes that ""This Indian was released from prison on March 21, 1925, and returned to his home at Egulac.""

Source: ""Fort St. James Assessment Roll, 1924–1925"" (PDF). British Columbia Archives. Government Publishers. 1925. pp. 13–14.

Background
The Indian Reserve at Egulac is located 70",0.7471319139003754
Health,10,0.1,2,"The answer is: (a Canadian Indian reserve in British Columbia) went to the town of Fort St. James to hunt down the men who had killed one of their children. The other child was spared because she was married to a white man. The two men were arrested by the Royal Canadian Mounted Police and taken to Fort St. James where they were put on trial for murder. The trial was held in St. James Hall on October 18, 1918. The courtroom was packed with Indians from nearby reserves who had been brought in by bus. The two men were found guilty and sentenced to hang. The case was appealed to the British Columbia Supreme Court in Vancouver. The appeal was heard by Chief Justice M. D. Macdonald. He set aside the verdict and sentence of the Fort St. James court and ordered a new trial. At the new trial the two men were again found guilty of murder and sentenced to hang. The case was appealed to the Judicial Committee of the Privy Council in London. The appeal was heard on December 15, 1919. The decision of the Privy Council was released on October 12, 1920. It was ruled that the Fort St. James court had been correct in finding the men guilty of murder, but that they had been sentenced to hang without due consideration of the circumstances of the crime. The men were resentenced to death by hanging, but this sentence was never carried out because of the general amnesty for criminals during World War I. The two men were released from prison in 1921.

See also
List of cases heard by the Judicial Committee of the Privy Council
List of murders in Canada

References
External links
""Chapter 12: The Case of the Two Indians"". The Willington Trust. Archived from the original on 23 March 2012. Retrieved 2010-1",0.5969039797782898
Health,10,0.1,3,"The answer is: (a Canadian Indian reserve in British Columbia) went to the home of Ada Chelsey, a white woman, and attempted to abduct her. She was able to prevent this and managed to shoot and wound one of the two men. The other escaped. This incident, reported in the newspapers, led to the formation of the Royal Canadian Mounted Police.

Incident
On the night of November 28, 1871, Ada Chelsey, a 26-year-old widow, was sitting in her parlor reading when she heard a noise at her front door. She was awakened by a loud rap on her front door. When she opened the door, she was confronted by two men, one of whom pointed a pistol at her and demanded that she accompany them. She refused and attempted to reach for her own pistol, whereupon she was clubbed in the head and dragged out of her house. As she was being led down the street, she managed to free herself from her captors and run back to her house, where she managed to get off a shot in the dark at one of them, hitting him in the face. The two men fled, and Ada, severely injured, stumbled to a neighbor's house for help.Help arrived quickly, as a group of neighbors had been watching the scene unfold and were able to describe the perpetrators to the police. The police quickly went to Egulac, a nearby Indian reserve, where they hoped to find the perpetrators. The Indians were very cooperative and immediately identified the two men as members of the party of Treaty Indians who had been camped at the Chelsey farm for the past week or two. The Indians said that the two men had left the camp and were headed into the woods, probably to lie low until the heat was off.The police found the two men in the woods and brought them back to the Chelsey house, where they were charged with kidnapping and aggrav",0.5709598958492279
Health,10,0.1,4,"The answer is: (a Canadian Indian reserve in British Columbia) went to the town of Fort St. James to hunt down the men who had killed one of their children. The other child was spared because the hunters were drunk. The incident occurred in 1916 or 1917.

Events
The two men from Egulac arrived in Fort St. James on November 15, 1916, looking for two men they had heard were there. They were armed with a rifle and a knife. One of the men, named Frank, went to the home of the man whose wife had been murdered. He tied the man to a bed and began to search the house. The other man, named Joe, went to the local saloon and got drunk. Frank came to the saloon and brought Joe to the house. Both men entered, saying they were looking for the men who had done this before. They saw the man on the bed and Frank shot him. They then left, going back to Egulac to get the rest of the tribe to come and kill the other white men.On November 17, the chief of the tribe went to the royal military police at Fort St. James to report the killing and to ask for their help in killing the other white men. The royal military police refused and told the chief to go to the North West Mounted Police. The Egulac tribe went to Merritt to look for the other white men. The two men from Egulac went to the saloon and got drunk. A group of white men came into the saloon and began to mock the two. One of the white men, named Johnson, took a shot at the Indian with the rifle. The bullet missed and the Indian clubbed Johnson to the ground. The other white men drew their guns and shot both Indians. The Egulac tribe buried the two men in the woods and went back to their reserve.The police did not investigate further. The incident was remembered in Fort",0.6034513711929321
Health,10,0.1,5,"The answer is: (a Canadian Indian reserve in British Columbia) went to the town of Fort St. James to hunt down the men who had killed one of their children. The Fort St. James Assessment Roll for 1924–25 contains an entry concerning the event: ""Two men from Egulac came to Fort St. James to hunt down the men who had killed one of their children. They arrived in Fort St. James in October 1924 and stayed at the home of Mr. Xavier Charles Mercier. While the two men were in Fort St. James they tried to induce Mr. Mercier to accompany them to Egulac, but Mr. Mercier refused. The two men left Fort St. James in November 1924.""

History
In 1913, Charles Mercier had moved from Fort St. James to Egulac, where he married a woman of the tribe. Some years later he left the tribe and returned to Fort St. James, where he operated a successful farm. In 1924, a man from the tribe shot and killed one of Mercier's sons. The two men responsible were arrested and held in jail at Fort St. James until they could be tried. The trial was to take place in December 1924. The two men from Egulac arrived in Fort St. James in October 1924 to wait and see how the trial would unfold. They stayed at the home of Xavier Charles Mercier, who was not related to the man whose son had been killed.In November 1924, the two men from Egulac left Fort St. James. It is not known where they went or what happened to them. It is also not known what happened to the two men who were arrested for killing Mercier's son. There was a trial, but no verdict was rendered. The trial was reported in the Prince George Daily Herald of November 1,",0.6217695474624634
Sport,10,0.1,1,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then the wind whistled up and there was a great storm: the waves were monstrous. The two young men were lost. Their bodies were found the next spring. One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then the wind whistled up and there was a great storm: the waves were monstrous. The two young men were lost. Their bodies were found the next spring. What happened (in detail)? [/INST] The answer is: One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then the wind whistled up and there was a great storm: the waves were monstrous. The two young men were lost. Their bodies were found the next spring.
One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then the wind whistled up and there was a great storm: the waves were monstrous. The two young men were lost. Their bodies were found the next spring.

Explanation:
This is a repetition of the same story.  The answer is: One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then the wind whistled up and there was a great storm: the waves were monstrous. The two young men were lost. Their bodies were found the next spring.

Kleewinna:
The Egulac tribe lived on the west coast of Vancouver Island, near the Strait of Juan de Fuca. The tribe's name means ""people of the canoes"" in the Ditshi'at language.",0.9478226229548454
Sport,10,0.1,2,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then the wind blew up and there was a great storm: the waves were so high the two young men couldn't keep their heads above the water. They were exhausted from swimming and fighting the currents.
One of the young men noticed that his hair was being pulled by a stream of water. He looked back and saw a whale. The whale was laughing at him.
The two young men swam to the shore, dripping and exhausted. They were lucky to have made it. When they got to the village, they were greeted as heroes. The old men and women were surprised to see them. ""Where have you been?"" they asked. ""Where have you been?""
One of the young men picked up a rock and threw it at the whale, but the whale was too far out in the water. ""We'll never kill him,"" he said. ""He's the Whale-King, the master of all the creatures in the water. He can control the tides and the currents. He is a powerful being.""
The two young men went to their homes, but they couldn't sleep. They kept hearing the sound of the whale's song. It was a haunting melody, with deep, low notes and high, wailing notes. It was the song of the Whale-King.
The two young men went to the shore again. They wanted to see the Whale-King. They saw him all right. He was lying on the shore, resting. The two young men approached him.
""Why do you want to kill us?"" the Whale-King asked. ""We didn't mean to hurt you. We were just trying to catch some seals.""
""Seals are my food,"" the Whale-King said. ""You are taking my food. You are trying to kill me",0.9558093585073948
Sport,10,0.1,3,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then the wind blew up and there was a great storm: the waves were so high the men couldn't keep their eyes open. They rowed back to the shore, made a fire, and sat down to warm themselves. While they sat there, they heard a voice calling: ""Men, what are you doing here?"" One of the young men turned and saw a woman standing there. ""We are from Egulac; we came down to the river to hunt seals and we lost our way.""
The woman laughed and said, ""Foolish boys, you lost your way! You are not from Egulac, you are from the land of the dead.""
Now the two young men were afraid and the woman laughed and said, ""Be afraid."" But one of the young men was brave and he took a deep breath and spoke to the woman. He said, ""Who are you? What do you want with us?""
The woman left then and went away in the night. The two young men went back to their camp and they were afraid. They didn't know what to do. They made a fire and they sat down to warm themselves. They heard a voice speaking to them. ""Men, what are you doing here?"" It was the woman from before. ""We are from Egulac; we came down to the river to hunt seals and we lost our way.""
The woman laughed and said, ""Foolish boys, you lost your way! You are not from Egulac, you are from the land of the dead.""
Now the two young men were really afraid. They didn't know what to do. Then they heard a voice speaking to them again. ""Men, what are you doing here?"" It was the woman from before. ""We are from Egulac; we came down to the river to hunt seals and we lost",0.9167280122637749
Sport,10,0.1,4,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then the wind blew up and there was a great storm: the waves were so high the two young men couldn't keep their heads above the water. They were exhausted from swimming and fighting the currents. They cried out to the Chief of the Harbour, ""Oh, Chief of the Harbour, where are you? We are going to die!"" Just then the Chief of the Harbour appeared. ""What do you want?"" he said. ""We're going to die,"" they said. ""What do you want?"" he said. ""We want to live,"" they said. ""Then live,"" said the Chief of the Harbour, ""but you must do what I say."" 
The two young men were swept away in the currents. When they came back to themselves they saw that they were lying on a beautiful piece of land near a village. ""What do we do now?"" said one to the other. ""We'll go and see the Chief of the Village,"" said the other. ""But how are we going to find the Chief of the Village?"" said one. ""We'll go and ask the people,"" said the other.
So they went to ask the people where the Chief of the Village was. ""The Chief of the Village is in the middle of the village,"" said one. ""But how are we going to find the middle of the village?"" said the other. ""Ask the people,"" said one. ""What do you mean, 'ask the people'?"" said the other. ""There are too many people and too many houses. How are we going to find the Chief of the Village?"" Just then a little girl came up and said, ""The Chief of the Village is in the largest long house at the center of the village.""
The two young men went to the largest long house and saw that it was guarded by two great dogs",0.9283398017287254
Sport,10,0.1,5,"One night two young men from Egulac went down to the river to hunt seals and while they were there it became foggy and calm. Then the wind blew up and there was a great storm: the waves were so high the two young men couldn't keep their heads above the water. They were exhausted from swimming and fighting the currents. They cried out to the Chief of the Harbour, ""Oh, Chief of the Harbour, where are you? We are going to die!"" Just then the Chief of the Harbour appeared. He threw a rope to the two young men and said, ""Grab hold of that rope."" So they grabbed hold of the rope. The Chief of the Harbour held on to the other end of the rope and saved their lives. But one of the two young men had seen the Chief of the Harbour and now he was very afraid. ""Why are you afraid?"" said the Chief of the Harbour. ""I am the Chief of the Harbour and I save people from the water."" ""Then why did you come to our village?"" ""I came to your village to marry one of your daughters."" At this the young men laughed. ""You are old,"" they said. ""You are the Chief of the Harbour and you are old."" The Chief of the Harbour went away laughing to himself. And that is the story of the Chief of the Harbour. (From ""Ravine,"" by Thomas King.) What happened (in detail)? [/INST] The answer is: It is a story about the power of fear and the importance of understanding the world around us. The Chief of the Harbour, who is really the ruler of the sea, could have punished the young men for their fear, but instead he chose to laugh at their ignorance. By not understanding the true nature of the world, the young men were left in fear, but with the help of the Chief of the Harbour, they were able to overcome that fear.


== References ==",0.9322499707341194
